,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_date,artists,sample_30s,name
0,0.279,0.211,10.0,-20.096,1,0.0366,0.982,0.878,0.665,0.0594,80.954,audio_features,4BJqT0PrAfrxzMOxytFOIz,spotify:track:4BJqT0PrAfrxzMOxytFOIz,https://api.spotify.com/v1/tracks/4BJqT0PrAfrxzMOxytFOIz,https://api.spotify.com/v1/audio-analysis/4BJqT0PrAfrxzMOxytFOIz,831667,4,,,,https://p.scdn.co/mp3-preview/8135db88d35b425950e52a58a95b2dd1437accc3?cid=f0967aa1c7064a36856282c85b3644a4,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve"
1,0.819,0.341,7.0,-12.441,1,0.415,0.732,0.0,0.16,0.963,60.936,audio_features,7xPhfUan2yNtyFG0cUWkt8,spotify:track:7xPhfUan2yNtyFG0cUWkt8,https://api.spotify.com/v1/tracks/7xPhfUan2yNtyFG0cUWkt8,https://api.spotify.com/v1/audio-analysis/7xPhfUan2yNtyFG0cUWkt8,180533,4,,,,https://p.scdn.co/mp3-preview/1c2685aeb6a86b8c6ede5ffdaec2b86dbc3e27af?cid=f0967aa1c7064a36856282c85b3644a4,Clancy Lowered the Boom
2,0.328,0.166,3.0,-14.85,1,0.0339,0.961,0.913,0.101,0.0394,110.339,audio_features,1o6I8BglA6ylDMrIELygv1,spotify:track:1o6I8BglA6ylDMrIELygv1,https://api.spotify.com/v1/tracks/1o6I8BglA6ylDMrIELygv1,https://api.spotify.com/v1/audio-analysis/1o6I8BglA6ylDMrIELygv1,500062,4,,,,https://p.scdn.co/mp3-preview/8ed8bf674327ac7486712d2c4df52296e159d9ab?cid=f0967aa1c7064a36856282c85b3644a4,Gati Bali
3,0.275,0.309,5.0,-9.316,1,0.0354,0.967,2.77e-05,0.381,0.165,100.109,audio_features,3ftBPsC5vPBKxYSee08FDH,spotify:track:3ftBPsC5vPBKxYSee08FDH,https://api.spotify.com/v1/tracks/3ftBPsC5vPBKxYSee08FDH,https://api.spotify.com/v1/audio-analysis/3ftBPsC5vPBKxYSee08FDH,210000,3,,,,https://p.scdn.co/mp3-preview/c5617130dea97ff1436a80dd60ea3e81f6d05876?cid=f0967aa1c7064a36856282c85b3644a4,Danny Boy
4,0.418,0.193,3.0,-10.096,1,0.038,0.957,1.68e-06,0.229,0.253,101.665,audio_features,4d6HGyGT8e121BsdKmw9v6,spotify:track:4d6HGyGT8e121BsdKmw9v6,https://api.spotify.com/v1/tracks/4d6HGyGT8e121BsdKmw9v6,https://api.spotify.com/v1/audio-analysis/4d6HGyGT8e121BsdKmw9v6,166693,4,,,,https://p.scdn.co/mp3-preview/442df757c58526204e61a626ee12089fe2969166?cid=f0967aa1c7064a36856282c85b3644a4,When Irish Eyes Are Smiling
5,0.697,0.346,2.0,-12.506,1,0.07,0.579,0.168,0.13,0.196,119.824,audio_features,4pyw9DVHGStUre4J6hPngr,spotify:track:4pyw9DVHGStUre4J6hPngr,https://api.spotify.com/v1/tracks/4pyw9DVHGStUre4J6hPngr,https://api.spotify.com/v1/audio-analysis/4pyw9DVHGStUre4J6hPngr,395076,4,,,,https://p.scdn.co/mp3-preview/487e123f0678e7ae5897bd15f7c51844efd21066?cid=f0967aa1c7064a36856282c85b3644a4,Gati Mardika
6,0.518,0.203,0.0,-10.589,1,0.0615,0.996,0.0,0.115,0.406,66.221,audio_features,5uNZnElqOS3W4fRmRYPk4T,spotify:track:5uNZnElqOS3W4fRmRYPk4T,https://api.spotify.com/v1/tracks/5uNZnElqOS3W4fRmRYPk4T,https://api.spotify.com/v1/audio-analysis/5uNZnElqOS3W4fRmRYPk4T,159507,4,,,,https://p.scdn.co/mp3-preview/a9fcc886a2bfcb7c07f6e024fc05148ca0c67fe3?cid=f0967aa1c7064a36856282c85b3644a4,The Wearing of the Green
7,0.389,0.088,1.0,-21.091,0,0.0456,0.993,0.527,0.363,0.0731,92.867,audio_features,02GDntOXexBFUvSgaXLPkd,spotify:track:02GDntOXexBFUvSgaXLPkd,https://api.spotify.com/v1/tracks/02GDntOXexBFUvSgaXLPkd,https://api.spotify.com/v1/audio-analysis/02GDntOXexBFUvSgaXLPkd,218773,4,,,,https://p.scdn.co/mp3-preview/4a52edfeadec00ec8ee59f3581a89add7f19ecb6?cid=f0967aa1c7064a36856282c85b3644a4,"Morceaux de fantaisie, Op. 3: No. 2, Prélude in C-Sharp Minor. Lento"
8,0.485,0.13,5.0,-21.508,0,0.0483,0.996,0.151,0.104,0.721,64.678,audio_features,05xDjWH9ub67nJJk82yfGf,spotify:track:05xDjWH9ub67nJJk82yfGf,https://api.spotify.com/v1/tracks/05xDjWH9ub67nJJk82yfGf,https://api.spotify.com/v1/audio-analysis/05xDjWH9ub67nJJk82yfGf,161520,3,,,,https://p.scdn.co/mp3-preview/3f0fa9b6f6a37086c553ec94f213661cf59b697f?cid=f0967aa1c7064a36856282c85b3644a4,La Mañanita - Remasterizado
9,0.684,0.257,8.0,-16.415,1,0.399,0.982,0.0,0.504,0.771,109.378,audio_features,08zfJvRLp7pjAb94MA9JmF,spotify:track:08zfJvRLp7pjAb94MA9JmF,https://api.spotify.com/v1/tracks/08zfJvRLp7pjAb94MA9JmF,https://api.spotify.com/v1/audio-analysis/08zfJvRLp7pjAb94MA9JmF,196560,4,,,,https://p.scdn.co/mp3-preview/f4f1708091620d6bfb938946b75ee398c40e1717?cid=f0967aa1c7064a36856282c85b3644a4,Il Etait Syndiqué
